Exam,Year,PaperOrSection,QuestionNumber,PageStart,SourceFile,QuestionLink,SolutionLink_Official,SolutionLink_Answers,SolutionLink_Worked,Topic,Subtopic,ESAT_Module,ESAT_SpecRef,ESAT_Strict,ESAT_Broad,PAT_SpecRef,PAT_Compatibility_Strict,PAT_Compatibility_Broad,Notes,PublicQuestionURL,PublicSolutionURL_Official,PublicSolutionURL_Answers,PublicSolutionURL_Worked
PAT,2019,Part A,1,7,PAT 2019.pdf,PAT 2019.pdf#page=7,PAT-2019-Solutions.pdf#page=2,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=7,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=2,,
PAT,2019,Part A,2,7,PAT 2019.pdf,PAT 2019.pdf#page=7,PAT-2019-Solutions.pdf#page=2,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=7,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=2,,
PAT,2019,Part A,3,8,PAT 2019.pdf,PAT 2019.pdf#page=8,PAT-2019-Solutions.pdf#page=3,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=8,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=3,,
PAT,2019,Part A,4,9,PAT 2019.pdf,PAT 2019.pdf#page=9,PAT-2019-Solutions.pdf#page=4,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=9,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=4,,
PAT,2019,Part A,5,10,PAT 2019.pdf,PAT 2019.pdf#page=10,PAT-2019-Solutions.pdf#page=5,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=10,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=5,,
PAT,2019,Part A,6,10,PAT 2019.pdf,PAT 2019.pdf#page=10,PAT-2019-Solutions.pdf#page=5,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=10,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=5,,
PAT,2019,Part A,7,11,PAT 2019.pdf,PAT 2019.pdf#page=11,PAT-2019-Solutions.pdf#page=6,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=11,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=6,,
PAT,2019,Part A,8,11,PAT 2019.pdf,PAT 2019.pdf#page=11,PAT-2019-Solutions.pdf#page=6,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=11,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=6,,
PAT,2019,Part A,9,12,PAT 2019.pdf,PAT 2019.pdf#page=12,PAT-2019-Solutions.pdf#page=7,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=7,,
PAT,2019,Part A,10,13,PAT 2019.pdf,PAT 2019.pdf#page=13,PAT-2019-Solutions.pdf#page=8,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=13,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=8,,
PAT,2019,Part A,11,14,PAT 2019.pdf,PAT 2019.pdf#page=14,PAT-2019-Solutions.pdf#page=9,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=14,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=9,,
PAT,2019,Part A,12,15,PAT 2019.pdf,PAT 2019.pdf#page=15,PAT-2019-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=15,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=10,,
PAT,2019,Part A,13a,16,PAT 2019.pdf,PAT 2019.pdf#page=16,PAT-2019-Solutions.pdf#page=11,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=16,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=11,,
PAT,2019,Part A,13b,16,PAT 2019.pdf,PAT 2019.pdf#page=16,PAT-2019-Solutions.pdf#page=11,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=16,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=11,,
PAT,2019,Part A,14a,18,PAT 2019.pdf,PAT 2019.pdf#page=18,PAT-2019-Solutions.pdf#page=12,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=18,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=12,,
PAT,2019,Part A,14b,18,PAT 2019.pdf,PAT 2019.pdf#page=18,PAT-2019-Solutions.pdf#page=12,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=18,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=12,,
PAT,2019,Part A,14c,18,PAT 2019.pdf,PAT 2019.pdf#page=18,PAT-2019-Solutions.pdf#page=12,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=18,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=12,,
